gid,stream_name,reservation,site_number,river_basin,river_code,drainage_area(mi2),survey_reach(ft),latitude,longitude,river_mile,date,scorers,comments,stream_channel_mod,substrate_metric_total,percent_best_types,substrate_metric_a,substrate1,substrate2,per_boulder_slabs,per_boulder_256mm,per_bedrock,per_cobble,per_gravel,per_sand,per_silt,per_leaf_woody,per_detritus,per_clay_hardpan,per_muck,per_artificial,substrate_metric_b,pool_metric_total,pool_depth_(cm),bankfull_metric_total,average_bankfull_(m),riparian_width_left,riparian_width_right,floodplain_quality_left,floodplain_quality_right,flow_regime,sinuosity,stream_gradient,qhei_done,designated_use,watershed,usgs_quad,soil_map_page,soil_map_order,county,city_twp_name,base_flow,date_last_rain,amt_last_rain,turbid,%_canopy_open,water_sample,temp,dissolved_oxygen_mgl,ph,conductivity,reach_representative,fish_observed,fish_sample_method,fish_time_collecting_minutes,frogs_tadpoles_observed,salamanders_observed,salamander_sample_method,salamander_time_collecting_minutes,aquatic_macros_observed,macro_time_collecting_minutes,macro_vouchers_collected,macro_comments,mountain_dusky_larvae,mountain_dusky_juveniles,mountain_dusky_adults,northern_dusky_larvae,northern_dusky_juveniles,northern_dusky_adults,two_lined_larvae,two_lined_juveniles,two_lined_adults,long_tailed_larvae,long_tailed_juveniles,long_tailed_adults,northern_red_larvae,northern_red_juveniles,northern_red_adults,mole_larvae,mole_juveniles,mole_adults,four_toed_larvae,four_toed_juveniles,four_toed_adults,red_backed_juveniles,red_backed_adults,slimy_juveniles,slimy_adults,blacknose_dace,bluegill_sunfish,bluntnose_minnow,brindled_madtom,brook_stickleback,brook_trout,brown_trout,central_mudminnow,central_stoneroller_minnow,common_shiner,creek_chub,eastern_sand_darter,fantail_darter,fathead_minnow,golden_shiner,goldfish,grass_pickerel,greenside_darter,green_sunfish,johnny_darter,largemouth_bass,longear_sunfish,longnose_dace,mottled_sculpin,northern_hog_sucker,pumpkinseed_sunfish,rainbow_darter,rainbow_trout,redbelly_dace,redside_dace,river_chub,silverjaw_minnow,smallmouth_bass,spotfin_shiner,stonecat_madtom,striped_shiner,trout_perch,warmouth_sunfish,white_sucker,yellow_bullhead_catfish,unidentified_fish_fry,sessile_animals,aquatic_worms,sow_bugs,scuds,water_mites,damselfly_nymphs,alderfly_larvae,other_beetles,crayfish,dragonfly_nymphs,riffle_beetles,other_flies,midges,snails,clams,fishfly_larvae,water_penny_beetles,cranefly_larvae,ameletidae,arthropleidae,baetidae,baetiscidae,caenidae,ephemerellidae,ephemeridae,heptageniidae,isonychiidae,leptohyphidae,leptophlebiidae,polymitarcyidae,potamanthidae,pseudironidae,siphlonuridae,capniidae,chloroperlidae,leuctridae,nemouridae,peltoperlidae,perlidae,perlodidae,pteronarcyidae,taeniopterygidae,brachycentridae,dipseuodopsidae,glossosomatidae,goeridae,helicopsychidae,hydropsychidae,hydroptilidae,lepidostomatidae,leptoceridae,limnephilidae,molannidae,odontoceridae,philopotamidae,phryganeidae,polycentropodidae,psychomiidae,rhyacophilidae,uenoidae,total_mayfly,total_stonefly,total_caddisfly,total_ept,hhei_score,hmfei_score,hmfei_narrative
"26",13-100-2.25I,Rocky River,"26","13","100",0.14,200,41.388,-81.87418,2.25,2013/06/20,"CW, JK, KH",,none/natural channel,"27",34,"21",gravel,cobble,0,1,5,28,42,21,0,3,0,0,0,0,"6","15",5,"15",1.4,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"2.5",moderate,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Berea,yes,2013/06/16,0.38,no,19,no,,,,,yes,no,,0,no,no,visual,"5",yes,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57","2",Class I/Ephemeral
"27",13-100-2.25I,Rocky River,"26","13","100",0.14,200,41.38789,-81.87408,2.25,2007/09/17,DG,,none/natural channel,"33",62,"25",bedrock,gravel,4,8,45,5,17,5,6,10,0,0,0,0,"8","25",14.5,"20",1.8,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,>3.0,severe,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Berea,yes,2007/09/11,0.15,no,15,no,15.5,15.9,7.7,2,yes,no,,0,yes,no,,"0",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78","0",Class I/Ephemeral
"28",13-100-2.25I,Rocky River,"26","13","100",0.14,200,41.38812,-81.87407,2.25,2018/06/06,"CW, OL, MW",,none/natural channel,"22",12,"15",gravel,sand,0,2,0,10,50,30,1,2,0,5,0,0,"7","25",11.4,"20",2.4,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"1.5",moderate,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Berea,yes,2018/06/03,0.71,no,35,no,,,,,yes,no,,,no,yes,visual and dip net,"10",yes,"10",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67","1",Class I/Ephemeral
"29",13-100-3.46II,Rocky River,"29","13","100",0.0946,200,41.38172,-81.86348,3.46,2013/06/20,"CW, JK, KH",,none/natural channel,"22",13,"15",gravel,sand,0,1,0,12,52,28,2,1,0,4,0,0,"7","20",32,"25",3.1,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.5",moderate,no,WWH,East Branch Rocky River,Berea,"37","2",Cuyahoga,Berea,yes,2013/06/16,0.38,no,16,no,15.5,5.26,7.66,1.974,yes,yes,visual and dip net,10,no,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,common,common,,rare,,,rare,,,common,rare,rare,,,,rare,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","67","15",Class II/Warm Water
"30",13-100-3.46II,Rocky River,"29","13","100",0.0946,200,41.38167,-81.86346,3.46,2009/07/21,"CW, NM",,none/natural channel,"22",23,"15",sand,gravel,1,7,0,15,25,40,0,5,0,7,0,0,"7","20",48.2,"30",4.2,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1",moderate,no,WWH,East Branch Rocky River,Berea,"37","2",Cuyahoga,Berea,yes,2009/07/18,0.15,no,20,no,18,4.09,7.85,1.64,yes,yes,visual and dip net,10,yes,no,visual and dip net,"10",yes,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72","2",Class I/Ephemeral
"31",13-100-3.46II,Rocky River,"29","13","100",0.09,200,41.38156,-81.86343,3.46,2018/05/30,"CW, OL, VR, MW",,none/natural channel,"22",16,"15",gravel,sand,0,1,0,15,40,25,3,3,0,13,0,0,"7","20",48,"25",3.32,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.5",moderate,no,WWH,East Branch Rocky River,Berea,"37","2",Cuyahoga,Berea,yes,2018/05/26,0.07,no,20,no,,,,,yes,yes,visual and dip net,10,no,no,visual and dip net,"5",yes,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,common,,rare,,,,,,,abundant,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","67","7",Class II/Warm Water
"32",13-100-3.46II-2I,Rocky River,"28","13","100",0.0626,200,41.38058,-81.86195,3.46,2007/09/18,DG,,none/natural channel,"29",60,"21",cobble,gravel,7,18,13,22,20,10,5,5,0,0,0,0,"8","20",34,"20",2.7,narrow,moderate,"residential, park, new field",mature forest or wetland,stream flowing,>3.0,moderate,no,WWH,East Branch Rocky River,Berea,"37","1",Cuyahoga,Berea,yes,2007/09/11,0.15,no,10,no,13.9,6.3,7.87,1.763,yes,yes,visual,10,no,no,"visual, dip net and seine","15",yes,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,abundant,very abundant,,,rare,common,,,very abundant,very abundant,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69","9",Class II/Warm Water
"33",13-100-3.46II-1I,Rocky River,"27","13","100",,200,41.38101,-81.86162,3.46,2007/09/18,DG,,none/natural channel,"33",49,"25",boulder,gravel,3,32,1,13,18,13,3,12,0,5,0,0,"8","15",8,"20",1.8,moderate,moderate,mature forest or wetland,mature forest or wetland,interstitial,"2.5",moderate to severe,no,WWH,East Branch Rocky River,Berea,"37","1",Cuyahoga,Berea,yes,2007/09/11,0.15,no,15,no,14.5,1.8,6.86,1.284,yes,no,,0,no,no,,"0",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,abundant,,,,,,,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68","4",Class I/Ephemeral
"34",13-001-9.58II-1I,Rocky River,"8","13","1",0.1,200,41.4217,-81.8568,9.58,2007/07/13,DG,,recovering,"10",0,"6",leaf pack/woody debris,silt,0,0,0,0,0,5,40,50,0,5,0,0,"4","0",0,"15",1.4,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1.5",flat,no,WWH,Main Branch Rocky River,Lakewood,"29","1",Cuyahoga,Fairview Park,yes,2007/07/11,0.2,no,20,no,,,,,yes,no,,0,no,no,,"0",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25","0",Class I/Ephemeral
"35",13-001-9.58II-1I,Rocky River,"8","13","1",0.1,200,41.42173,-81.85637,9.58,2013/05/21,"CW, JK",,recovering,"12",0,"6",silt,leaf pack/woody debris,0,0,0,0,10,7,30,23,0,15,15,0,"6","25",20,"15",1.3,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2",flat to moderate,no,WWH,Main Branch Rocky River,Lakewood,"29","1",Cuyahoga,Fairview Park,yes,2013/05/15,0.02,no,18,no,20.2,3.15,7.49,2.14,yes,no,visual and dip net,5,yes,no,visual and dip net,"5",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,rare,,,,,,,,,rare,abundant,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52","5",Class I/Ephemeral
"36",13-001-9.58II,Rocky River,"9","13","1",,200,41.4241,-81.85587,9.58,2007/07/13,DG,,recovering,"21",10,"15",gravel,sand,0,0,0,10,35,35,10,5,0,0,0,5,"6","25",20,"20",2.2,narrow,wide,urban or industrial,mature forest or wetland,stream flowing,"0",flat,no,WWH,Main Branch Rocky River,Lakewood,"29","2",Cuyahoga,Fairview Park,yes,2007/07/11,0.2,no,30,no,19,,,,no,no,visual and dip net,10,yes,no,visual and dip net,"10",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,common,,common,rare,common,abundant,rare,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66","12",Class II/Warm Water
"37",13-001-9.58II,Rocky River,"9","13","1",,200,41.42381,-81.85457,9.58,2018/05/31,"CW, OL, VR, MW",,recovering,"30",53,"22",bedrock,sand,0,1,50,2,10,15,3,11,1,7,0,0,"8","25",15.2,"20",2.3,none,wide,urban or industrial,mature forest or wetland,stream flowing,"0.5",flat to moderate,no,WWH,Main Branch Rocky River,Lakewood,"29","2",Cuyahoga,Fairview Park,yes,2018/05/30,0.01,no,55,no,,,,,yes,yes,visual and dip net,10,no,no,visual and dip net,"5",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,abundant,rare,rare,common,,,rare,,,rare,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75","8",Class II/Warm Water
"38",13-100-5.00I,Mill Stream Run,"63","13","100",,150,41.35282,-81.8542,5,2009/06/23,"CW, NM, GB",,none/natural channel,"23",2,"15",gravel,sand,0,1,0,1,40,30,0,4,0,21,1,2,"8","25",10.7,"5",0.75,wide,wide,"residential, park, new field","residential, park, new field",stream flowing,"0.5",moderate to severe,no,WWH,East Branch Rocky River,Berea,"46","0",Cuyahoga,Middleburg Heights,yes,2009/06/20,0.08,no,60,no,18,7.1,7.85,0.828,no,no,,0,no,yes,visual and dip net,"5",yes,"25",,,,,,,,,"3",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,rare,abundant,,,,rare,,rare,,common,rare,common,rare,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","13",Class II/Warm Water
"39",13-001-8.66I,Rocky River,"7","13","1",,200,41.43349,-81.85001,8.66,2007/07/13,DG,,none/natural channel,"14",5,"6",leaf pack/woody debris,silt,1,2,2,0,5,5,35,40,0,5,0,5,"8","5",3,"15",1.1,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,>3.0,severe,no,WWH,Main Branch Rocky River,Lakewood,"29","1",Cuyahoga,Fairview Park,yes,2007/07/11,0.2,no,10,no,,,,,yes,no,,0,no,no,,"0",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34","0",Class I/Ephemeral
"40",13-100-6.10II,Mill Stream Run,"64","13","100",0.0733,200,41.35192,-81.85032,6.1,2009/06/23,"CW, NM, GB",,none/natural channel,"21",0,"15",gravel,sand,0,0,0,0,50,32,5,5,0,15,0,3,"6","20",53,"20",1.81,narrow,moderate,"residential, park, new field","residential, park, new field",stream flowing,"0.5",flat to moderate,no,WWH,East Branch Rocky River,Berea,"46","1",Cuyahoga,Middleburg Heights,yes,2009/06/20,0.08,no,18,no,18.7,4.2,7.34,1.144,yes,yes,visual and dip net,10,yes,yes,visual and dip net,"10",yes,"35",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,common,,rare,,rare,,rare,rare,,,common,abundant,rare,rare,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61","13",Class II/Warm Water
"41",13-100-6.10II,Mill Stream Run,"64","13","100",0.0733,200,41.3519,-81.85026,6.1,2018/06/06,"CW, OL, MW",,none/natural channel,"21",1,"15",sand,gravel,0,0,0,1,25,40,1,18,0,15,0,0,"6","20",47,"20",2.4,narrow,narrow,"residential, park, new field","residential, park, new field",stream flowing,"2.5",moderate,no,WWH,East Branch Rocky River,Berea,"46","1",Cuyahoga,Middleburg Heights,yes,2018/06/03,0.71,no,20,no,,,,,yes,yes,visual and dip net,10,no,no,visual and dip net,"5",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very abundant,,,,,,,,,,,,common,common,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","61","5",Class I/Ephemeral
"42",13-001-8.21II,Rocky River,"17","13","1",0.0592,200,41.43746,-81.84704,8.21,2007/07/18,DG,,none/natural channel,"14",5,"6",leaf pack/woody debris,silt,0,0,0,5,10,5,25,35,5,5,10,0,"8","20",38,"15",1.2,wide,moderate,mature forest or wetland,urban or industrial,interstitial,>3.0,moderate to severe,no,WWH,Main Branch Rocky River,Lakewood,"29","0",Cuyahoga,Fairview Park,yes,2007/07/18,0.02,no,20,no,17.8,,,,yes,no,visual and dip net,5,no,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,rare,common,,,very abundant,,common,,abundant,rare,very abundant,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49","10",Class II/Warm Water
"43",13-001-8.21II,Rocky River,"17","13","1",0.0592,200,41.43754,-81.84698,8.21,2018/05/31,"CW, OL, VR, MW",,none/natural channel,"13",1,"6",sand,clay or hardpan,0,1,0,0,20,39,2,10,3,25,0,0,"7","25",16.5,"20",2.1,wide,narrow,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",severe,no,WWH,Main Branch Rocky River,Lakewood,"29","0",Cuyahoga,Fairview Park,yes,2018/05/30,0.01,no,18,no,,,,,yes,no,,,no,no,visual and dip net,"5",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very abundant,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58","2",Class I/Ephemeral
"44",13-100-6.40I,Mill Stream Run,"124","13","100",,200,41.35109,-81.8478,6.4,2009/07/17,"CW, NM, GB",,none/natural channel,"12",3,"6",clay or hardpan,sand,0,1,0,2,7,15,0,5,0,70,0,0,"6","0",0,"15",1.05,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"2",moderate to severe,no,WWH,East Branch Rocky River,Berea,"46","0",Cuyahoga,Middleburg Heights,yes,2009/07/11,0.25,no,16,no,,,,,yes,no,,0,no,no,visual,"5",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27","0",Class I/Ephemeral
"45",13-100-6.66I,Mill Stream Run,"128","13","100",,173,41.34739,-81.8464,6.66,2009/07/17,"CW, NM, GB",,none/natural channel,"8",1,"3",clay or hardpan,leaf pack/woody debris,0,1,0,0,5,10,0,24,0,60,0,0,"5","0",0,"15",1.33,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"0.5",severe,no,WWH,East Branch Rocky River,Berea,"46","0",Cuyahoga,Strongsville,yes,2009/07/11,0.25,no,18,no,,,,,yes,no,,0,no,no,visual,"5",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23","0",Class I/Ephemeral
"46",13-100-6.73II-2I,Mill Stream Run,"127","13","100",,200,41.34436,-81.84613,6.73,2009/07/17,"CW, NM, GB",,none/natural channel,"7",1,"3",clay or hardpan,leaf pack/woody debris,0,1,0,0,0,10,0,19,0,70,0,0,"4","0",0,"15",1.18,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"0.5",severe,no,WWH,East Branch Rocky River,Berea,"46","0",Cuyahoga,Strongsville,yes,2009/07/11,0.25,no,25,no,,,,,yes,no,,0,no,yes,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22","0",Class I/Ephemeral
"47",13-100-6.73II,Mill Stream Run,"125","13","100",,148,41.34462,-81.84576,6.73,2009/07/17,"CW, NM, GB",,none/natural channel,"10",0,"6",clay or hardpan,sand,0,0,0,0,8,22,0,20,0,50,0,0,"4","0",0,"15",1.13,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"1",severe,no,WWH,East Branch Rocky River,Berea,"46","0",Cuyahoga,Strongsville,yes,2009/07/11,0.25,no,15,no,,,,,yes,no,,0,no,yes,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25","0",Class I/Ephemeral
"48",13-100-6.73II-1I,Mill Stream Run,"126","13","100",,200,41.34425,-81.84568,6.73,2009/07/17,"CW, NM, GB",,none/natural channel,"4",0,"0",clay or hardpan,clay or hardpan,0,0,0,0,5,5,0,10,0,80,0,0,"4","0",0,"15",1.21,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"1",severe,no,WWH,East Branch Rocky River,Berea,"46","0",Cuyahoga,Strongsville,yes,2009/07/11,0.25,no,25,no,,,,,yes,no,,0,no,no,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19","0",Class I/Ephemeral
"49",13-100-7.00I,Mill Stream Run,"123","13","100",,200,41.3403,-81.84464,7,2009/07/17,"CW, NM, GB",,none/natural channel,"23",16,"15",gravel,sand,0,3,5,8,37,20,2,6,0,18,0,1,"8","30",28.9,"15",1.48,narrow,narrow,"residential, park, new field","residential, park, new field",stream flowing,"1",moderate to severe,no,WWH,East Branch Rocky River,Berea,"53","1",Cuyahoga,Strongsville,yes,2009/07/11,0.25,no,18,no,17.9,7.08,7.94,0.966,yes,no,visual and dip net,10,no,yes,visual and dip net,"10",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,rare,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68","3",Class I/Ephemeral
"50",13-100-7.77I,Mill Stream Run,"121","13","100",,200,41.33734,-81.84465,7.77,2009/07/17,"CW, NM, GB",,none/natural channel,"5",0,"0",clay or hardpan,clay or hardpan,0,0,0,0,3,10,12,4,0,71,0,0,"5","15",7.1,"15",1.1,moderate,wide,"residential, park, new field",mature forest or wetland,intermittent,"0.5",moderate,no,WWH,East Branch Rocky River,Berea,"53","1",Cuyahoga,Strongsville,yes,2009/07/11,0.25,no,15,no,18.6,2.85,7.33,1.75,yes,no,,0,yes,no,visual and dip net,"5",yes,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,common,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35","3",Class I/Ephemeral
"51",13-100-7.00I,Mill Stream Run,"123","13","100",,200,41.3413,-81.84431,7,2018/06/29,"CW, VR, MW",,none/natural channel,"24",40,"16",bedrock,clay or hardpan,0,2,34,4,15,10,1,4,0,30,0,0,"8","25",10.7,"20",1.16,moderate,moderate,forest/res,forest/res,stream flowing,"2.5",moderate to severe,no,WWH,East Branch Rocky River,Berea,"53","1",Cuyahoga,Strongsville,yes,2018/06/27,0.17,no,18,no,,,,,yes,no,visual and dip net,5,no,no,visual and dip net,"5",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,rare,,,rare,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69","5",Class I/Ephemeral
"52",13-001-8.09II,Rocky River,"1","13","1",0.093,200,41.43933,-81.84241,8.09,2013/05/21,"CW, JK",,none/natural channel,"32",79,"25",bedrock,gravel,0,2,73,4,10,7,2,2,0,0,0,0,"7","25",15,"20",1.88,moderate,moderate,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",severe,no,WWH,Main Branch Rocky River,Lakewood,"29","2",Cuyahoga,Cleveland,yes,2013/05/15,0.02,no,18,no,18.6,8.7,8.08,1.834,no,no,visual and dip net,5,no,no,visual and dip net,"10",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77","2",Class I/Ephemeral
"53",13-001-8.09II,Rocky River,"1","13","1",0.09,200,41.43936,-81.84229,8.09,2018/05/31,"CW, OL, VR, MW",,none/natural channel,"33",65,"25",bedrock,gravel,0,5,60,0,17,10,1,2,0,5,0,0,"8","25",12.2,"20",1.8,wide,narrow,mature forest or wetland,"residential, park, new field",stream flowing,"2",severe,no,WWH,Main Branch Rocky River,Lakewood,"29","2",Cuyahoga,Cleveland,yes,2018/05/30,0.01,no,15,no,,,,,yes,no,,,no,no,visual and dip net,"5",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,rare,,,,,,,,common,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","78","6",Class I/Ephemeral
"54",13-001-8.09II,Rocky River,"1","13","1",0.093,200,41.4389,-81.84197,8.09,2007/06/25,DG,,none/natural channel,"32",55,"25",boulder,gravel,0,35,10,10,25,10,5,5,0,0,0,0,"7","25",15,"20",2.3,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"3",severe,no,WWH,Main Branch Rocky River,Lakewood,"29","2",Cuyahoga,Cleveland,yes,2007/06/19,0.35,no,10,no,17,,,,yes,no,,0,no,yes,visual,"20",yes,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,common,,,,rare,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77","7",Class II/Warm Water
